Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
Mizzen,https://thehungergames.fandom.com/wiki/Mizzen,https://static.wikia.nocookie.net/thehungergames/images/0/0e/Mizzen.jpg/revision/latest/scale-to-width-down/268?cb=20231110151114,District 4,13 [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,Merciless Mizzen (by Lucky Flickerman ),,Brown (film),,Deceased,The Ballad of Songbirds and Snakes,Cooper Dillon,,,,Trident Knife Net (film) Spear (film),,Male
Mockingjay,https://thehungergames.fandom.com/wiki/Mockingjay,https://static.wikia.nocookie.net/thehungergames/images/1/11/MockingjayCover.jpg/revision/latest/scale-to-width-down/268?cb=20100211200124,,,,Tim O'Brien,Science fiction Young adult Adventure,400 (hardcover) [ 1 ],,,ISBN 978-0-439-02351-1,The Ballad of Songbirds and Snakes,,,,,24-Aug-10,,Catching Fire,Scholastic Press,United States,,Suzanne Collins,,,,,,,,,,,,,,,,,,,
Morphling (drug),https://thehungergames.fandom.com/wiki/Morphling_(drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphlings,https://thehungergames.fandom.com/wiki/Morphlings,https://static.wikia.nocookie.net/thehungergames/images/0/08/Morphlings2.png/revision/latest/scale-to-width-down/268?cb=20140816194859,Victors' Village in District 6,,,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victors Tributes Painters,,,,,,,,,,Deceased,Catching Fire,Justin Hix & Megan Hayes,,,,Camouflage Stealth,,Male and female
Mrs. Mellark,https://thehungergames.fandom.com/wiki/Mrs._Mellark,https://static.wikia.nocookie.net/thehungergames/images/c/c6/Mrs._Mellark.JPG/revision/latest/scale-to-width-down/268?cb=20140303064003,Merchant section of District 12,,,,,,The Hunger Games film,,,,,,,,,,,,,,,Baker,,,,,,,Otho Mellark † (husband) Unnamed oldest son † Unnamed son † Peeta Mellark (youngest son) Katniss Everdeen (daughter-in-law) Unnamed grandaughter Unnamed grandson,,,Deceased,,Raiko Bowman,,,,,,Female
Mrs. Plinth,https://thehungergames.fandom.com/wiki/Mrs._Plinth,https://static.wikia.nocookie.net/thehungergames/images/1/18/Mrs._Plinth.jpg/revision/latest/scale-to-width-down/268?cb=20231117190618,The Capitol District 2 (formerly),,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,Ma (by Sejanus Plinth and Coriolanus Snow ),Unnamed sister Strabo Plinth (husband) Sejanus Plinth (son),,,,The Ballad of Songbirds and Snakes,Daniela Grubert,,,,,,Female
Nero Price,https://thehungergames.fandom.com/wiki/Nero_Price,https://static.wikia.nocookie.net/thehungergames/images/f/fb/Nero_Price.png/revision/latest/scale-to-width-down/268?cb=20230924064522,The Corso in the Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Railway tycoon,,,,,,,,,The Ballad of Songbirds and Snakes,,,Clemens Schick,,,,,,Male
Nona,https://thehungergames.fandom.com/wiki/Nona,https://static.wikia.nocookie.net/thehungergames/images/1/1f/Camilladistrict2.jpg/revision/latest?cb=20260508211608,District 2,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’3” (film),,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Elisabeth Heinz,,,,,,Female
Notion,https://thehungergames.fandom.com/wiki/Notion,,District 8,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Blue (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’8” (film),,,,Red (film),,Deceased,Sunrise on the Reaping,Anna Lena Treue,,,,,,Female
Octavia,https://thehungergames.fandom.com/wiki/Octavia,https://static.wikia.nocookie.net/thehungergames/images/3/3b/Octavia_durante_la_fiesta_de_Snow.png/revision/latest/scale-to-width-down/268?cb=20140306190006,The Capitol District 13 (briefly),Early 20s,,,,,The Hunger Games (film) The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Prep team to Katniss Everdeen,,,,,,,,,,Alive,"The Hunger Games , Catching Fire , Mockingjay",Brooke Bundy,,,,,,Female
Otho Mellark,https://thehungergames.fandom.com/wiki/Otho_Mellark,https://static.wikia.nocookie.net/thehungergames/images/1/12/Mr.Mellark/revision/latest/scale-to-width-down/268?cb=20190819191833,Merchant section of District 12,40s (Main trilogy) 16-18 ( Sunrise on the Reaping ),,,,,The Hunger Games film,,,,,,,,,,,,,,,Baker,,,,,,,Mrs. Mellark (wife) † Unnamed oldest son † Unnamed second oldest son † Peeta Mellark (youngest son) Katniss Everdeen (daughter-in-law) Unnamed granddaughter Unnamed grandson,,Mockingjay,Deceased,The Hunger Games Sunrise on the Reaping,,,,,,,Male
Otto,https://thehungergames.fandom.com/wiki/Otto,https://static.wikia.nocookie.net/thehungergames/images/2/22/OttoBTS.png/revision/latest?cb=20250416215205,District 6,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Brown (film),,Deceased,The Ballad of Songbirds and Snakes,Nova Just,,,,Crossbow (film),,Male
Palladium Barker,https://thehungergames.fandom.com/wiki/Palladium_Barker,,Victor's Village in District 1,15-18 ( 46th Hunger Games ),,,,,,,,,,,,,,,,,,,,Victor (46th HG) Career Tribute,,,,,,,Panache Barker,,Sunrise on the Reaping,Presumed deceased,,,,,,,,Unknown
Palmyra Monty,https://thehungergames.fandom.com/wiki/Palmyra_Monty,https://static.wikia.nocookie.net/thehungergames/images/b/b7/Palmyra_Monty.jpg/revision/latest/scale-to-width-down/268?cb=20230929140024,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Aminata Toscano,,,,,,Female
Panache Barker,https://thehungergames.fandom.com/wiki/Panache_Barker,https://static.wikia.nocookie.net/thehungergames/images/b/be/PanacheSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120142720,District 1,15-18,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Career Tribute ( 50th Hunger Games ),,,,6’0 (film),,,Palladium Barker,Brown (film),,Deceased,Sunrise on the Reaping,Jhaleil Swaby [ 1 ],,,,Sword,,Male
Panlo,https://thehungergames.fandom.com/wiki/Panlo,https://static.wikia.nocookie.net/thehungergames/images/a/a0/Panlofixedangle.png/revision/latest/scale-to-width-down/268?cb=20260421041708,District 9,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dark blond (film),,Deceased,The Ballad of Songbirds and Snakes,Lucas Wilson,,,,Sword (film),,Male
Silver parachute,https://thehungergames.fandom.com/wiki/Parachute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peeler,https://thehungergames.fandom.com/wiki/Peeler,https://static.wikia.nocookie.net/thehungergames/images/d/d7/Peeler.png/revision/latest?cb=20260704204727,District 10,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’1” (film),,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Lisa Lekutat,,,,,,Female
Peeta Mellark,https://thehungergames.fandom.com/wiki/Peeta_Mellark,https://static.wikia.nocookie.net/thehungergames/images/1/1e/PeetaCC.jpg/revision/latest/scale-to-width-down/268?cb=20231107225452,Victors' Village in District 12 Bakery (formerly) The Capitol & District 13 (briefly),16 ( The Hunger Games and Catching Fire ) 17 ( Catching Fire and Mockingjay [ 1 ] ) 18 (End of Mockingjay ) 37+ (epilogue),,,,,The Hunger Games (film) The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Blue (books) [ 3 ] Hazel (films),,,,,,,,,,,,,,Victor ( 74th Hunger Games ) Tribute ( 75th HG ) Baker,,,,"5'7"" (film) [ 2 ] 5'10"" ( Tribute Guide )",,Lover Boy (by the Careers ) Boy with the bread (by Katniss Everdeen ) The Baker's boy (by Caesar Flickerman ),Otho Mellark † (father) Unnamed mother † (mother) Oldest brother † Older brother † Katniss Everdeen (wife) Unnamed daughter and son By marriage Burdock Everdeen † (father-in-law) Asterid Everdeen (mother-in-law) Primrose Everdeen † (sister-in-law),Blond [ 3 ],,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Josh Hutcherson (films) Euan Garrett ( stage ),,,,Hand-to-hand combat Knives Camouflage Machete (film) Spear ( Tribute Guide ) Wrestling,,Male
Persephone Price,https://thehungergames.fandom.com/wiki/Persephone_Price,https://static.wikia.nocookie.net/thehungergames/images/4/44/Persephone_with_Vipsania.jpeg/revision/latest/scale-to-width-down/268?cb=20231230004708,The Corso in the Capitol,17-18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Athena Strates,,,,,,Female
Pliny Harrington,https://thehungergames.fandom.com/wiki/Pliny_Harrington,https://static.wikia.nocookie.net/thehungergames/images/c/c3/Pliny.jpg/revision/latest/scale-to-width-down/268?cb=20231222120616,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,Pup,,,,,The Ballad of Songbirds and Snakes,Ayomide Adegun,,,,,,Male
Pluribus Bell,https://thehungergames.fandom.com/wiki/Pluribus_Bell,,The Capitol,,,,,,,,,,,,,,,,,,,,,Musician/club owner (formerly) Black marketeer,,,,,,,Cyrus (partner),,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Plutarch Heavensbee,https://thehungergames.fandom.com/wiki/Plutarch_Heavensbee,https://static.wikia.nocookie.net/thehungergames/images/6/67/PlutarchD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,The Capitol (originally) District 13 (during rebellion),,,,,,The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 Sunrise on the Reaping,Light blue (films),,,,,,,,,,,,,,Head Gamemaker [ 1 ] [ 2 ] Secretary of Communications [ 3 ] Cameraman [ 4 ],,,,,,,Unnamed cousin [ 5 ] Hilarius Heavensbee (relative) Trajan Heavensbee (ancestor),"Dark ( Catching Fire: Illustrated Edition ) Ginger (Adult, film) Pale blond (Middle aged, film)",,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Philip Seymour Hoffman (original trilogy) Jesse Plemons (SOTR),,,,Propaganda Intelligence,,Male
Pollux,https://thehungergames.fandom.com/wiki/Pollux,https://static.wikia.nocookie.net/thehungergames/images/8/8c/PolluxD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,The Capitol District 13 (briefly),,,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Cameraman Avox (formerly) Rebel,,,,,,,Castor (brother),,,Alive,Mockingjay,Elden Henson,,,,Gun,,Male
Portia,https://thehungergames.fandom.com/wiki/Portia,https://static.wikia.nocookie.net/thehungergames/images/7/7e/Portia.jpg/revision/latest?cb=20120426074110,The Capitol,,,,,,The Hunger Games,,,,,,,,,,,,,,,Stylist to Peeta Mellark,,,,,,,,,Mockingjay,Deceased (Executed by President Snow ),The Hunger Games Catching Fire,Latarsha Rose,,,,,,Female
Posy Hawthorne,https://thehungergames.fandom.com/wiki/Posy_Hawthorne,,The Seam in District 12 District 13 (briefly),4 ( Catching Fire ) [ 1 ] 5 ( Mockingjay ) [ 2 ],,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Hawthorne (father) Hazelle Hawthorne (mother) Gale Hawthorne (oldest brother) Rory Hawthorne (older brother) Vick Hawthorne (older brother),,,Alive,"Catching Fire , Mockingjay",,,,,,,Female
Potena,https://thehungergames.fandom.com/wiki/Potena,https://static.wikia.nocookie.net/thehungergames/images/c/cd/Potena.png/revision/latest/scale-to-width-down/268?cb=20260704204828,District 5,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’5” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Jelle Flora Pouwels,,,,,,Female
Prep team,https://thehungergames.fandom.com/wiki/Prep_team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma Coin,https://thehungergames.fandom.com/wiki/President_Alma_Coin,https://static.wikia.nocookie.net/thehungergames/images/4/49/PresidentCoinD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,District 13 The Capitol (briefly),Mid-late 50s ( Mockingjay ),,,,,Mockingjay - Part 1 Mockingjay - Part 2,Grey (books) [ 1 ] Hazel (films),,,,,,,,,,,,,,President of District 13 Rebel leader Interim President of Panem,,,,,,,Unnamed husband (film) Unnamed daughter (film),Grey (books [ 1 ] and films),,Deceased,Mockingjay,Julianne Moore,,,,Propaganda Bombs,,Female
Maximinius Ravinstill,https://thehungergames.fandom.com/wiki/President_Ravinstill,https://static.wikia.nocookie.net/thehungergames/images/7/7c/Ravinstill.jpeg/revision/latest/scale-to-width-down/268?cb=20231222114514,The Capitol,,,,,,,,,,,,,,,,,,,,,President of Panem Mayor of the Capitol [ 1 ],,,,,,,Felix Ravinstill (great-nephew),,,Presumed deceased (by the Original Trilogy),The Ballad of Songbirds and Snakes,,,,,,,Male
Primrose Everdeen,https://thehungergames.fandom.com/wiki/Primrose_Everdeen,https://static.wikia.nocookie.net/thehungergames/images/9/93/PrimroseD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,Victors' Village in District 12 District 13 (briefly) The Seam (pre-74th HG) [ 1 ],"12 ( The Hunger Games ) [ 1 ] 13 ( Catching Fire , Mockingjay )",,,,,The Hunger Games (film) The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2,Blue (books) [ 1 ] Light brown (films),,,,,,,,,,,,,,Student Healer,,,,,,Prim Little Duck (by Katniss Everdeen ),Burdock Everdeen † (father) Asterid Everdeen (mother) Katniss Everdeen (older sister) Peeta Mellark (brother-in-law) Unnamed niece Unnamed nephew Lenore Dove Baird † (distant cousin) The Covey (distant ancestors),Blonde (books [ 1 ] and films),,Deceased,The Hunger Games Catching Fire Mockingjay,Willow Shields (films) Sophia Ally ( stage ),,,,,,Female
Proserpina Trinket,https://thehungergames.fandom.com/wiki/Proserpina_Trinket,https://static.wikia.nocookie.net/thehungergames/images/7/7c/Proserpina.jpeg/revision/latest/scale-to-width-down/268?cb=20260413133258,The Capitol,18-20 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Brown (film),,,,,,,,,,,,,,University student Prep team to Haymitch Abernathy,,,,,,Prosie (by Effie Trinket ) [ 2 ],Effie Trinket (older sister) Messalina Trinket (great-aunt) Silius Trinket (great-uncle),Blonde (film),,Unknown,Sunrise on the Reaping,Iris Apatow,,,,,,Female
Purnia,https://thehungergames.fandom.com/wiki/Purnia,,District 12,,,,,,,,,,,,,,,,,,,,,Peacekeeper,,,,,,,,,,,Catching Fire,,,,,,,Female
Quarter Quell,https://thehungergames.fandom.com/wiki/Quarter_Quell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper Ash,https://thehungergames.fandom.com/wiki/Reaper_Ash,https://static.wikia.nocookie.net/thehungergames/images/f/f0/Reaper.jpg/revision/latest/scale-to-width-down/267?cb=20231102210327,District 11,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute,,,,,,,,Black (film),,Deceased,The Ballad of Songbirds and Snakes,Dimitri Abold,,,,Pitchfork Long knife,,Male
Remus Dolittle,https://thehungergames.fandom.com/wiki/Remus_Dolittle,,The Capitol,,,,,,,,,,,,,,,,,,,,,Gamemaker -in-Training,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Ringina,https://thehungergames.fandom.com/wiki/Ringina,https://static.wikia.nocookie.net/thehungergames/images/f/f7/Ringina.webp/revision/latest/scale-to-width-down/268?cb=20260413174255,District 7,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’4” (film),,,,Black (book & film),,Deceased,Sunrise on the Reaping,Tatyana Muzondo [ 1 ],,,,Throwing knives,,Female
Ripper,https://thehungergames.fandom.com/wiki/Ripper,https://static.wikia.nocookie.net/thehungergames/images/e/eb/Ripper.JPG/revision/latest/scale-to-width-down/268?cb=20140303061652,District 12,,,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Bootlegger Coal miner (formerly),,,,,,,,,The Hunger Games,Unknown (presumed deceased),Catching Fire,Taylor St. Clair,,,,,,Female
Romulus Thread,https://thehungergames.fandom.com/wiki/Romulus_Thread,https://static.wikia.nocookie.net/thehungergames/images/4/4a/Romulus_Thread.png/revision/latest/scale-to-width-down/267?cb=20140319182605,District 12,Middle aged,,,,,,,,,,,,,,,,,,,,Head Peacekeeper,,,,,,,,,,Unknown (presumed deceased),,Patrick St. Esprit,,,,Whip Gun,,Male
Rooba,https://thehungergames.fandom.com/wiki/Rooba,,District 12,Elderly,,,,,,,,,,,,,,,,,,,,Butcher,,,,,,,,,Catching Fire,Presumed deceased,The Hunger Games,,,,,,,Female
Rory Hawthorne,https://thehungergames.fandom.com/wiki/Rory_Hawthorne,,The Seam in District 12 District 13 (briefly),12 ( Catching Fire ) [ 1 ] 12-13 ( Mockingjay ),,,,,,,,,,,,,,,,,,,,Student,,,,,,,Hazelle Hawthorne (mother) Mr. Hawthorne (father) Gale Hawthorne (older brother) Vick Hawthorne (younger brother) Posy Hawthorne (younger sister),,The Hunger Games,Alive,Catching Fire,,,,,,,Male
Rue,https://thehungergames.fandom.com/wiki/Rue,https://static.wikia.nocookie.net/thehungergames/images/7/7e/Rue_tribute_portrait.jpg/revision/latest?cb=20120207225858,District 11 [ 1 ],12 [ 1 ],Catching Fire The Hunger Games: Mockingjay - Part 1 The Hunger Games: Mockingjay - Part 2,,,,The Hunger Games,Dark brown (book and films),,,,,,,,,,,,,,Harvester [ 2 ] [ 3 ] Tribute [ 1 ],,,,"4'8"" (film) [ 4 ]",,,Unnamed father Unnamed mother Unnamed younger sister 3 unnamed younger sisters Unnamed younger brother Unnamed aunt (film),Black (books and films),Catching Fire Mockingjay,Deceased,The Hunger Games,Amandla Stenberg (film) Aya Agustin ( stage ),,,,Slingshot Stealth Tracking,,Female
Sabyn,https://thehungergames.fandom.com/wiki/Sabyn,https://static.wikia.nocookie.net/thehungergames/images/2/2f/Sabynclose.png/revision/latest/scale-to-width-down/268?cb=20250427053514,District 2,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Black (film),,Deceased,The Ballad of Songbirds and Snakes,Yuli Lam,,,,,,Female
Sarshee Whitcomb,https://thehungergames.fandom.com/wiki/Sarshee_Whitcomb,,District 12,,,,,,,,,,,,,,,,,,,,,Tribute,,,,,,,Lyle Whitcomb † (father),,Sunrise on the Reaping,Deceased,,,,,,,,Female
Satyria Click,https://thehungergames.fandom.com/wiki/Satyria_Click,,The Capitol,,,,,,,,,,,,,,,,,,,,,Communications professor,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Female
Seeder,https://thehungergames.fandom.com/wiki/Seeder,https://static.wikia.nocookie.net/thehungergames/images/0/01/Seeder_flowers.jpeg/revision/latest/scale-to-width-down/268?cb=20200821105149,Victors' Village in District 11,"15-18 (at victory) Around 60, 57-62 ( 75th Hunger Games ) [ 1 ]",,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victor (31st-33rd) Tribute ( 75th Hunger Games ) [ 1 ],,,,,,,,,,Deceased,Catching Fire,Maria Howell,,,,,,Female
Sejanus Plinth,https://thehungergames.fandom.com/wiki/Sejanus_Plinth,https://static.wikia.nocookie.net/thehungergames/images/7/71/SejanusPlinth-Poster.jpeg/revision/latest/scale-to-width-down/268?cb=20230922110746,District 2 (originally) The Capitol District 12 (briefly),18 [ 2 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ) Peacekeeper,,,,,,Bull's Eye (by District 12 Peacekeepers) [ 1 ],Strabo Plinth (father) Mrs. Plinth (mother) Unnamed maternal aunt,,,Deceased,The Ballad of Songbirds and Snakes,Josh Andrés Rivera,,,,Gun,,Male
Seneca Crane,https://thehungergames.fandom.com/wiki/Seneca_Crane,https://static.wikia.nocookie.net/thehungergames/images/d/d0/Seneca_Crane.jpg/revision/latest/scale-to-width-down/268?cb=20120208233058,The Capitol,,The Hunger Games: Catching Fire,,,,The Hunger Games,,,,,,,,,,,,,,,Head Gamemaker (72-74),,,,,,,Unknown relations Arachne Crane and her unnamed brother,Black (film),Catching Fire,Deceased,The Hunger Games,Wes Bentley,,,,Control Room,,Male
Shamus,https://thehungergames.fandom.com/wiki/Shamus,,District 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ballad of Songbirds and Snakes,Deceased (presumed),,,,,,,,Female
Sheaf,https://thehungergames.fandom.com/wiki/Sheaf,https://static.wikia.nocookie.net/thehungergames/images/1/16/Sheaffixedangle.png/revision/latest/scale-to-width-down/268?cb=20260421041752,District 9,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Hazel (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dirty-blond (film),,Deceased,The Ballad of Songbirds and Snakes,Jona Marie Laux,,,,,,Female
Sid Abernathy,https://thehungergames.fandom.com/wiki/Sid_Abernathy,https://static.wikia.nocookie.net/thehungergames/images/d/d1/SidSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120142638,District 12,10 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping,Blue (film),,,,,,,,,,,,,,Student,,,,,,,Mr. Abernathy † (father) Willamae Abernathy † (mother) Haymitch Abernathy (older brother) Two unnamed older sisters †,Blond (film),Mockingjay,Deceased [ 2 ],Sunrise on the Reaping,Smylie Bradwell,,,,,,Male
Silka Sharp,https://thehungergames.fandom.com/wiki/Silka_Sharp,https://static.wikia.nocookie.net/thehungergames/images/9/9e/SilkaSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20260413154131,District 1,15-18 [citation needed],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Blue (film),,,,,,,,,,,,,,Career Tribute ( 50th Hunger Games ),,,,"Over 6'0""(book) [ 1 ] 5'7"" (film)",,,,Blonde (film),Catching Fire,Deceased,Sunrise on the Reaping,Laura Marcus [ 2 ],,,,Axe,,Female
Smiley,https://thehungergames.fandom.com/wiki/Smiley,https://static.wikia.nocookie.net/thehungergames/images/0/03/Smiley.jpg/revision/latest/scale-to-width-down/268?cb=20231223174356,District 8 (originally) District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Peacekeeper,,,,,,,,,,,,Carl Spencer,,,,,,Male
Sol,https://thehungergames.fandom.com/wiki/Sol,https://static.wikia.nocookie.net/thehungergames/images/3/3b/Sol_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20250310040625,District 5,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Brown (film),,Deceased,The Ballad of Songbirds and Snakes,Samia Hofmann,,,,Knife (film),,Female
Sponsorship,https://thehungergames.fandom.com/wiki/Sponsor_gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spruce,https://thehungergames.fandom.com/wiki/Spruce,https://static.wikia.nocookie.net/thehungergames/images/4/40/Spruce_being_dragged_by_Peacekeepers.png/revision/latest/scale-to-width-down/268?cb=20230509001627,District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,,,,Deceased,The Ballad of Songbirds and Snakes,George Somner,,,,Shotgun,,Male
Stamp,https://thehungergames.fandom.com/wiki/Stamp,,District 10,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Hazel (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’0” (film),,,,Blonde (film),,Deceased,Sunrise on the Reaping,Jack Lee Thomas,,,,,,Male
Strabo Plinth,https://thehungergames.fandom.com/wiki/Strabo_Plinth,https://static.wikia.nocookie.net/thehungergames/images/d/d4/Strabo_Plinth.jpg/revision/latest/scale-to-width-down/267?cb=20231215134856,District 2 (formerly) The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Munitions manufacturer War profiteer,,,,,,,Mrs. Plinth (wife) Sejanus Plinth (son) Unnamed sister-in-law,,,Presumed Deceased,The Ballad of Songbirds and Snakes,Michael Greco,,,,,,Male
Sunrise on the Reaping,https://thehungergames.fandom.com/wiki/Sunrise_on_the_Reaping,https://static.wikia.nocookie.net/thehungergames/images/5/5a/Sunrise_on_the_Reaping_cover.jpg/revision/latest/scale-to-width-down/267?cb=20241016124136,,,,,Dystopian/Young adult,382,,,ISBN 1546171460,The Hunger Games,,,,,"March 18, 2025 [ 1 ]",,The Ballad of Songbirds and Snakes,Scholastic Press,United States,,Suzanne Collins,,,,,,,,,,,,,,,,,,,
Tam Amber,https://thehungergames.fandom.com/wiki/Tam_Amber,https://static.wikia.nocookie.net/thehungergames/images/5/52/Tam_Amber.jpg/revision/latest/scale-to-width-down/268?cb=20231215140842,The Seam in District 12,Around 16 ( Dark Days ) [ 1 ] Around 26 ( The Ballad of Songbirds and Snakes ) Around 66 ( Sunrise on the Reaping ),,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Mandolin player Blacksmith [ 2 ],,,,,,,The Covey (adoptive family) Lenore Dove Baird † (adoptive niece) Burdock Everdeen † (distant relative),,Sunrise on the Reaping,Presumed deceased,The Ballad of Songbirds and Snakes,Eike Onyambu,,,,,,Male
Tanner,https://thehungergames.fandom.com/wiki/Tanner,https://static.wikia.nocookie.net/thehungergames/images/9/95/Tanner.jpg/revision/latest/scale-to-width-down/267?cb=20231122163212,District 10,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Blue (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dark blond (film),,Deceased (killed by Coral and Mizzen ),The Ballad of Songbirds and Snakes,Kjell Brutscheidt,,,,Sickle Chain-sickle (film),,Male
Tax,https://thehungergames.fandom.com/wiki/Tax,,The Capitol,,,,,,,,,,,,,,,,,,,,,Trainer,,,,,,,,,,,Catching Fire,,,,,Bow and arrow,,Male
