Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
Marcus Kane,https://the100.fandom.com/wiki/Marcus_Kane,https://static.wikia.nocookie.net/thehundred/images/b/b2/609_Marcus_Kane_I.png/revision/latest/scale-to-width-down/267?cb=20200406204040,Pilot,Earth (former) The Ark (former) Arkadia (former) City of Light (former) Polis (former) Second Dawn Bunker (former) Shallow Valley (former) Eligius IV (former),Stabbed several times in the abdomen and bit in the neck (I) Floated (II),Kane Councilman Chancellor pro tempore Chancellor Mr. Chancellor Chancellor Kane Marcus of the Sky People Ambassador Uncle Marcus Marcus Kane II Newest Prime,What You Take With You (physical) A Sort of Homecoming (flashback),"Deceased , 2281; Eligius IV (I/II)",2107; The Ark,"One , Two , Three , Four , Five , Six",Michael Vinson (I) Indra (assisted suicide; II) Himself (suicide; II),Henry Ian Cusick (I; S1 - S6 ) Greyston Holt (II; S6 ),"320 Sky People ( The Culling ) Tristan 364 Sky People ( The Second Culling ) (indirectly) ~400 members of Wonkru (indirectly, informed McCreary of Wonkru's and Echo's plan) Himself (suicide assisted by Indra )",Male,Councilman (former) Chancellor pro tempore of the Ark (former) Chancellor of Camp Jaha (former) Chancellor of Arkadia (former) Skaikru Ambassador (former) Member of Osleya's Council (former),Sky People Coalition His Faction Resistance Against A.L.I.E. (former) A.L.I.E.'s Cult (former) Wonkru,Vera Kane † (mother) Abigail Griffin † (girlfriend),"42-43 (S1-4) 48-49 (S5-6) 173-174 (chronologically, S6) 30s (body of his last host, Gavin )"
Maria,https://the100.fandom.com/wiki/Maria,https://static.wikia.nocookie.net/thehundred/images/3/38/Maria_%28Murphy%27s_Law%29.png/revision/latest/scale-to-width-down/268?cb=20250828220640,Pilot,Earth (current) The Ark (former) The Camp,,,His Sister's Keeper,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Mark Black,https://the100.fandom.com/wiki/Mark_Black,https://static.wikia.nocookie.net/thehundred/images/2/28/Mark_Black_%28Pilot%29.PNG/revision/latest/scale-to-width-down/268?cb=20200926130910,Pilot,Earth (current) The Ark (former) The camp,,,Pilot,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Mark and Peter Colton,https://the100.fandom.com/wiki/Mark_and_Peter_Colton,https://static.wikia.nocookie.net/thehundred/images/c/cf/Unseen_character.png/revision/latest/scale-to-width-down/268?cb=20160831044715,Gimme Shelter,Earth (former) Arkadia (former) The Ark (former) The Camp (Peter; former),Radiation exposure,,Gimme Shelter,Deceased,,Four,Black rain,"Peter Fleming (Mark, voice only)",,Male,,Sky People The 100 (Peter),,Unknown (Mark) 12-19 (Peter)
Masayo Takada,https://the100.fandom.com/wiki/Masayo_Takada,https://static.wikia.nocookie.net/thehundred/images/8/88/Masayo_Takada_%28Contents_Under_Pressure%29.png/revision/latest/scale-to-width-down/268?cb=20250829044930,Pilot,Earth (current) The Ark (former) The camp,,,Contents Under Pressure,,,One,,Unknown,,Female,,Sky People The 100,,16-18
Maya Vie,https://the100.fandom.com/wiki/Maya_Vie,https://static.wikia.nocookie.net/thehundred/images/3/3f/Maya.jpg/revision/latest/scale-to-width-down/268?cb=20160314173644,The 48,"Mount Weather , Earth",Radiation poisoning,Melty Girl (by Josephine ),Blood Must Have Blood (Part 2) (physical) Nevermind (hallucination),Deceased,,"Two , Six",Clarke Griffin Bellamy Blake Monty Green (indirectly),Eve Harlow,Sgt. Lovejoy (indirectly),Female,Medical assistant,Mountain Men Delinquents Resistance Against Harvest Project,Vincent Vie † (father) Unnamed Mother † Jasper Jordan † (boyfriend),18
Mel,https://the100.fandom.com/wiki/Mel,https://static.wikia.nocookie.net/thehundred/images/e/e7/MelCrop.jpg/revision/latest/scale-to-width-down/268?cb=20141128015210,Many Happy Returns,The Ark (former) Earth (former) Arkadia (former),,,Human Trials,Unknown (either deceased or transcended),,Two,,Tanaya Beatty,,Female,,Sky People,,Unknown
Minor Characters,https://the100.fandom.com/wiki/Mentioned-Only_Characters,,,,,,,,,,,,,,,,,
Michael Vinson,https://the100.fandom.com/wiki/Michael_Vinson,https://static.wikia.nocookie.net/thehundred/images/f/fb/5x09_Vinson_Crop.png/revision/latest/scale-to-width-down/268?cb=20190702010002,Shifting Sands,Earth (current) Shallow Valley (former) Eligius IV (former) Asteroid Mining Penal Colony (former),Electrocuted to death with his shock collar,,Damocles (Part 1),Deceased,2000s; Earth,Five,Abigail Griffin,Mike Dopud,Multiple unnamed people [ 1 ] (pre-apocalypse) Two Eligius prisoners Marcus Kane I,Male,,Eligius Prisoners,,
Mike Bogdanovic,https://the100.fandom.com/wiki/Mike_Bogdanovic,https://static.wikia.nocookie.net/thehundred/images/d/de/Delinquent_featured_in_Pilot.PNG/revision/latest/scale-to-width-down/268?cb=20201105103731,Pilot,Earth (current) The Ark (former) The camp,,,Murphy's Law,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Miles Shaw,https://the100.fandom.com/wiki/Miles_Shaw,https://static.wikia.nocookie.net/thehundred/images/7/78/5x01_Miles_Shaw.jpg/revision/latest?cb=20200108124052,Eden,"Alpha (former) Earth (former) Saginaw, Michigan, US (former) Shallow Valley (former) Eligius IV (former)",Radiation exposure,Shaw Lieutenant,Sanctum,"Deceased , 2281 ; Alpha",mid 2020s; Earth,"Five , Six",Radiation shield,Jordan Bolger,2 Eligius Prisoners Virgil,Male,US Navy SEAL (former) Pilot (former),Wonkru Eligius Corporation (former) Eligius Prisoners (former) Spacekru,Raven Reyes (girlfriend),"20s (biologically) 130s (chronologically, during S5) 260s (chronologically, end of S5)"
Minor Characters,https://the100.fandom.com/wiki/Minor_Characters,,,,,,,,,,,,,,,,,
Miranda Mason,https://the100.fandom.com/wiki/Miranda_Mason,https://static.wikia.nocookie.net/thehundred/images/a/a1/Miranda_IX.png/revision/latest/scale-to-width-down/268?cb=20240712141914,Red Sun Rising,Earth (former) Eligius III (former) Alpha (former) Sanctum (former) Eligius IV (former),Shot (prime) Stabbed in the neck (VIII) Floated (IX),Miranda VIII Miranda IX Miranda Prime,The Blood of Sanctum,"Deceased , 2281 ; Eligius IV",,Six,Madi Griffin (VIII) Clarke Griffin (IX),Lucia Walters (VIII) Kat Ruston (IX),,Female,Prime Doctor,Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Caleb Mason † (husband) Jasmine Mason † (daughter),250-290's (chronologically) Mid 40s (body of her previous host) 30s (body of her last host)
Miss Lucy,https://the100.fandom.com/wiki/Miss_Lucy,https://static.wikia.nocookie.net/thehundred/images/7/7e/Miss_Lucy.jpg/revision/latest/scale-to-width-down/268?cb=20180518191310,Twilight's Last Gleaming,The Ark,Unknown,,Contents Under Pressure,Deceased,,One,,Jane Craven,,Female,,Sky People,Reese Lemkin (dependent),
Monty Green,https://the100.fandom.com/wiki/Monty_Green,https://static.wikia.nocookie.net/thehundred/images/b/ba/Monty_season_5.jpg/revision/latest/scale-to-width-down/268?cb=20180530215924,Pilot,Earth (former) The Ark (former) The Camp (former) Mount Weather (former) Arkadia (former) Becca's Island (former) Go-Sci Ring (former) Shallow Valley (former) Second Dawn Bunker (former) Eligius IV (former),Unknown (presumably of old age),Mr. Green Dad (by his son ),Damocles (Part 2) (physical) Nevermind (hallucination),"Deceased , around 2206 ; onboard Eligius IV",,"One , Two , Three , Four , Five , Six",,Christopher Larkin,"Several Trikru warriors including Tris (indirectly; alongside Jasper and Raven) 1 Mount Weather guard Around 350 remaining inhabitants of Mount Weather (indirectly) 8 members of A.L.I.E.'s Cult (consciousness; alongside Raven Reyes ) Hannah Green (physical and consciousness) Several Azgeda slavers at Farm Station (alongside Bellamy Blake , Bryan , Harper and Nathan Miller ) Dakiva (alongside Bellamy Blake , Bryan , Harper and Nathan Miller ) Tybe (caused)",Male,Engineer Agriculture Scientist Arkadia Guard (former),Wonkru The 100 Sky People Pike's Faction (former) Kane's Faction Resistance Against A.L.I.E. Spacekru,Hannah Green † (mother) Unnamed Father † (mentioned) Anna Rae Green † (grounder ancestor) Jasper Jordan † (best friend; brother figure) Harper McIntyre † (life partner) Jordan Green (son),Under 18 (S1-4) 23-24 (end of S4) 70s-80s (end of S5)
Myles,https://the100.fandom.com/wiki/Myles,https://static.wikia.nocookie.net/thehundred/images/a/af/Myles1x11.png/revision/latest/scale-to-width-down/268?cb=20140607153634,The Calm,Earth (current) The Ark (former) The Camp,Asphyxiation,,We Are Grounders (Part 1),Deceased,,Season One,John Murphy,Brendan Meyer,,Male,Gunner,Sky People The 100,,15-17
Nate Miller,https://the100.fandom.com/wiki/Nate_Miller,https://static.wikia.nocookie.net/thehundred/images/b/b2/716_promo_16_Miller_crop.jpg/revision/latest/scale-to-width-down/268?cb=20210423190044,Contents Under Pressure,Earth (current) The Ark (former) The Camp (former) Mount Weather (former) Arkadia (former) Becca's Island (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former),,Nate Miller,The Last War,Alive,,"One , Two , Three , Four , Five , Six , Seven",,Jarod Joseph,"Several Grounders 1 Mount Weather guard 1 Azgeda warrior Several Azgeda slavers at Farm Station (alongside Bellamy , Monty , Bryan and Harper )",Male,Bellamy's Militia (former) Arkadia Guard (former) Wonkru Guard (former),Sky People The 100 Kane's Faction Resistance Against A.L.I.E. Wonkru Finalkru,David Miller † (father) Raine Miller † (grounder ancestor) Bryan † (ex-boyfriend) Eric Jackson (boyfriend),"17 or 18 ( S1 - S4 ) 24 ( S5 ) 149 (chronologically, S6 - S7 )"
Nelson,https://the100.fandom.com/wiki/Nelson,https://static.wikia.nocookie.net/thehundred/images/9/91/712_Nelson.jpg/revision/latest/scale-to-width-down/268?cb=20200813223613,Ashes to Ashes,"Sanctum , Alpha",Shot in the head,Sachin (birth name),The Stranger,Deceased,,"Six , Seven",Sheidheda,Lee Majdoub,,Male,Leader of a COG unit Leader of the Children of Gabriel,Children of Gabriel,Paula (mother) Zahir † (father),
Nia,https://the100.fandom.com/wiki/Nia,https://static.wikia.nocookie.net/thehundred/images/1/1a/304_nia_preview.jpg/revision/latest/scale-to-width-down/267?cb=20201128020027,Ye Who Enter Here,Earth,Speared,Ice Queen Queen Nia Highness,Ashes to Ashes (flashback),"Deceased , 2150; Polis",,"Three , Six",Lexa,Brenda Strong,Costia 49 Sky People in Mount Weather,Female,Queen of the Ice Nation (former),Azgeda,Roan † (son) Theo † (father),
Nikki,https://the100.fandom.com/wiki/Nikki,https://static.wikia.nocookie.net/thehundred/images/2/27/Nikki_7x03.jpg/revision/latest/scale-to-width-down/268?cb=20200626161711,From the Ashes,Earth (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former),,Niks (by Hatch) Honey bunny (by Hatch) Machine Gun Annie Convict (by Sheidheda ),The Last War,Transcended,,Seven,,Alaina Huffman,2 cops Bank robbery hostages (alongside Hatch ),Female,Leader of the Eligius Prisoners Prisoner (former) Bank robber (former),Eligius Prisoners Sheidheda (former) Wonkru,Hatch † (husband),
Niylah,https://the100.fandom.com/wiki/Niylah,https://static.wikia.nocookie.net/thehundred/images/c/c2/Niylah_in_the_Last_Season_Finale.png/revision/latest/scale-to-width-down/268?cb=20210311234142,Wanheda (Part 1),Earth (current) Her Trading Post (former) Arkadia (former) Second Dawn Bunker (current) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former),,,The Last War,Alive,,"Three , Four , Five , Six , Seven",,Jessica Harmon,,Female,Trading Post Worker (former) Medical Assistant,Trikru Resistance Against A.L.I.E. (only briefly during the events at her post) Sky People Wonkru Finalkru,Unnamed Trikru Father † Unnamed Azgeda Mother †,
Nygel,https://the100.fandom.com/wiki/Nygel,https://static.wikia.nocookie.net/thehundred/images/2/29/Murphy%27s_Law_033_%28Nygel%29.png/revision/latest/scale-to-width-down/268?cb=20160901160534,Murphy's Law,The Ark,,,Murphy's Law,Deceased,,One,,Saidah Arrika Ekulona,,Female,Culinary Tech In charge of black market,Sky People,,
Nyko,https://the100.fandom.com/wiki/Nyko,https://static.wikia.nocookie.net/thehundred/images/f/f4/Nyko.jpg/revision/latest/scale-to-width-down/268?cb=20141029195144,Inclement Weather,Earth,Shot in the back multiple times (blood loss),,A Lie Guarded,Deceased,,"Two , Three , Four",A.L.I.E. 's drone,Ty Olsson,,Male,Healer,Trikru,,
Obika,https://the100.fandom.com/wiki/Obika,https://static.wikia.nocookie.net/thehundred/images/5/52/505_Obika.png/revision/latest/scale-to-width-down/268?cb=20230302020652,The Chosen,Earth Second Dawn Bunker Polis,Parasitic worms,,Shifting Sands,Deceased,,"Four , Five",Parasitic worms,Christopher Jordan Judge,,Male,Warrior,Azgeda Wonkru,,30s
Octavia Blake,https://the100.fandom.com/wiki/Octavia_Blake,https://static.wikia.nocookie.net/thehundred/images/5/53/A_Sort_of_Homecoming_-_Octavia_Blake.jpg/revision/latest/scale-to-width-down/268?cb=20200911003413,Pilot,Earth (current) The Ark (former) The Camp (former) Arkadia (former) Polis (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (former) Sanctum (former) Skyring (former) Bardo (former),,O (by Bellamy Blake ) Girl under the floor Grounder Pounder Sky Girl Okteivia kom Skaikru (Octavia of the Sky People ) Pocahontas Okteivia kom Trikru (Octavia of the Woods Clan ) Skairipa (Death from Above) Osleya (Champion) Queen of the Grounders (by Murphy ) Blodreina (Red Queen) Queen of Cannibals (by Bellamy Blake ) Aunty O (by Hope Diyoza ) Miss Blake,The Last War,Alive,2132; The Ark,"One , Two , Three , Four , Five , Six , Seven",,Marie Avgeropoulos Olivia Steele-Falconer (child) Paloma Kwiatkowski ( Blodreina double),"Several Grounders and Mount Weather guards Charles Pike Ilian (mercy kill) Luna 364 Sky People (indirectly, ordered to get them out) ~400 members of Wonkru (indirectly, ordered them to march on Shallow Valley) Tosh",Female,Indra 's second (former) Warrior (former) Assassin (former) Osleya / Blodreina (leader of Wonkru ; former),Finalkru The 100 Sky People (former) Grounders Trikru (former) Kane's Faction Resistance Against A.L.I.E. Wonkru (founder) Disciples (feigned),Bellamy Blake † (maternal half-brother) Unnamed Father † Aurora Blake † (mother) Tracy Blake † (grounder ancestor) Lincoln † (former boyfriend) Indra (mother figure) Hope Diyoza (niece figure) Charmaine Diyoza † (sister figure) Echo (declared family) Clarke Griffin (declared family) Levitt (boyfriend),"17 (S1–4) 23 (S5-6) 33-34 (end of S6-7) 158-159 (chronologically, end of S7)"
Olivier Grard,https://the100.fandom.com/wiki/Olivier_Grard,https://static.wikia.nocookie.net/thehundred/images/7/74/Olivier_Grard_Pilot.png/revision/latest/scale-to-width-down/268?cb=20250828193754,Pilot,Earth (current) The Ark (former) The camp,Battle with the Grounders]],,His Sister's Keeper,Deceased,,One,,Unknown,,Male,,Sky People The 100 Bellamy's Militia,,16-18
Ontari,https://the100.fandom.com/wiki/Ontari,https://static.wikia.nocookie.net/thehundred/images/2/20/Ontari.jpg/revision/latest/scale-to-width-down/268?cb=20160209081137,Watch the Thrones,Earth Polis City of Light (former),Brain damage from being struck in the head with a pipe,Heda ( Commander in Trigedasleng ) Ice Nation Commander (by Roan ) Heir to Bekka Pramheda,Perverse Instantiation (Part 2) (physical) Echoes (corpse),Deceased 2150; Polis,,Three,Thelonious Jaha A.L.I.E. (ordered),Rhiannon Fish,Nightbloods from her Conclave (including Aden ) Titus (indirectly),Female,Commander of the 12 Clans (by ruse; former),"Azgeda Coalition (by ruse, former) A.L.I.E.'s Cult (former)",,
Orlando,https://the100.fandom.com/wiki/Orlando,https://static.wikia.nocookie.net/thehundred/images/b/bb/704_Orlando.jpeg/revision/latest/scale-to-width-down/268?cb=20200612020814,The Garden,Bardo (former) Skyring (former) Nakara (current),Hanged himself,Master Orlando,The Queen's Gambit (corpse),Deceased,,Seven,Himself Echo (caused),Darren Moore,,Male,Level 12 Disciple (former),Disciples (former),,40s
Osias,https://the100.fandom.com/wiki/Osias,https://static.wikia.nocookie.net/thehundred/images/1/1c/Osias2_2x4.png/revision/latest/scale-to-width-down/268?cb=20150722054227,Many Happy Returns,Earth,,,Many Happy Returns,Unknown (presumably deceased ),,Two,,Chad Riley,,Male,Nomad,His family Nomadic Grounders,Sienna (wife) Zoran (son),
Otan,https://the100.fandom.com/wiki/Otan,https://static.wikia.nocookie.net/thehundred/images/6/63/Otan_3x05.PNG/revision/latest/scale-to-width-down/268?cb=20160219080042,Rubicon,Earth (former) Dead Zone (former) City of Light (former),Shot,,Hakeldama,Deceased,,"Two , Three",Shawn Gillmer,Mik Byskov,,Male,,Nomadic Grounders A.L.I.E.'s Cult,Emori (sister),18/19
Otis,https://the100.fandom.com/wiki/Otis,https://static.wikia.nocookie.net/thehundred/images/d/d6/706_Otis_-_big_crop.png/revision/latest/scale-to-width-down/268?cb=20200625150015,Nakara,Earth (former) Second Dawn Bunker (former) Eligius IV (former) Sanctum (current) Alpha (current),Shot,Otis,Blood Giant,Deceased,2110-2120; ( Earth ),Seven,Disciples Bill Cadogan (ordered),Josh Collins,,Male,Warrior,Wonkru Sangedakru,,30-40 155-165 (chronologically)
Paul Slater,https://the100.fandom.com/wiki/Paul_Slater,https://static.wikia.nocookie.net/thehundred/images/4/4b/Delinquent_Paul_Slater_in_Murphy%27s_Law.PNG/revision/latest/scale-to-width-down/268?cb=20200926134054,Pilot,Earth (current) The Ark (former) The camp,,,Contents Under Pressure,Unknown,,One,,Unknown,,Male,,Sky People The 100 Bellamy's Militia,,16-18
Paula,https://the100.fandom.com/wiki/Paula,https://static.wikia.nocookie.net/thehundred/images/8/81/707_Paula.png/revision/latest/scale-to-width-down/267?cb=20200702140750,The Queen's Gambit,Sanctum (current) Alpha (current),,Paula,The Stranger,Transcended,,Seven,,Deni DeLori,,Female,,Sanctumites The Faithful,Zahir † (husband) Nelson † (son),50s-60s
Paxton McCreary,https://the100.fandom.com/wiki/Paxton_McCreary,https://static.wikia.nocookie.net/thehundred/images/0/0d/5x09_-_Paxton_McCreary.jpg/revision/latest/scale-to-width-down/268?cb=20180709235355,Eden,Earth Asteroid Mining Penal Colony (former) Eligius IV (former) Shallow Valley,Head stomped in,Graveyard Mass murderer (by Madi),Damocles (Part 2),"Deceased , 2156; onboard Gagarin",1990s; Earth,Five,Clarke Griffin,William Miller,Captain Stevens Wayne Szybanks Several prisoners from Diyoza's group 5 Wonkru members,Male,Mob/cartel enforcer (former) [ 1 ] Leader of a faction of Eligius prisoners,Crime syndicate (former) Eligius Prisoners,Hope Diyoza (daughter),Mid-40s (biologically) Mid-160s (chronologically)
Penn,https://the100.fandom.com/wiki/Penn,https://static.wikia.nocookie.net/thehundred/images/f/f5/710_Penn.jpg/revision/latest/scale-to-width-down/268?cb=20200731130941,Reapercussions,Earth (former) Tondc (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (current) Sanctum (current),,,The Last War,Transcended,,"Two , Seven",,Luc Roderique,Reapers 1 Mount Weather Guard 1 Children of Gabriel member,Male,Warrior,Trikru Wonkru,,Unknown
Peri Gordon,https://the100.fandom.com/wiki/Peri_Gordon,https://static.wikia.nocookie.net/thehundred/images/4/43/3x07_Peri_Gordon.png/revision/latest/scale-to-width-down/268?cb=20160314231901,Thirteen,Earth,Destruction of Polaris,Doctor,Thirteen,Deceased,,Three,Alpha Station Becca (indirectly and unintentionally),Yasmine Aker,,Female,Lab assistant [ 1 ] Scientist,Infinity Corporation Polaris,,20s [ 1 ]
Picasso,https://the100.fandom.com/wiki/Picasso,https://static.wikia.nocookie.net/thehundred/images/1/12/701_Picasso_crop.png/revision/latest/scale-to-width-down/268?cb=20200916162515,The Children of Gabriel,The Palace (former) The Farmhouse (former) Earth (current),,,The Last War,Alive,,"Six , Seven",,Picasso,,Female,,Finalkru Sanctumites ( transcended ) Nightbloods (presumably),Russell Lightbourne † (former owner) Simone Lightbourne † (former owner) Clarke's friends (owners) Madi Griffin (former owner),
Priya Desai,https://the100.fandom.com/wiki/Priya_Desai,https://static.wikia.nocookie.net/thehundred/images/8/87/6x12_Priya_the_7th_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200307013927,Red Sun Rising,Earth (former) Alpha (former) Sanctum (former),Shot (prime) Stabbed (VII) Mind Drive smashed,Priya VII Priya Prime Mother (by Ryker),Adjustment Protocol,Deceased,,Season Six,Russell Lightbourne (prime) Blythe Ann Workman (VII) Russell Lightbourne (Mind Drive),Ashleigh LaThrop (VII),,Female,Prime Mechanic Engineer,Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Ryker Desai † (son),260-290's (chronologically) 21 (body of her last host)
Quint,https://the100.fandom.com/wiki/Quint,https://static.wikia.nocookie.net/thehundred/images/7/7b/Quint.png/revision/latest/scale-to-width-down/268?cb=20150131043240,Survival of the Fittest,Earth,Wounded by Lexa to be attacked by Pauna,,Survival of the Fittest,Deceased,,Season Two,Pauna Lexa (indirectly),Graham Shiels,,Male,Warrior,Trikru,Unnamed brother †,
Minor Characters,https://the100.fandom.com/wiki/Rafel,,,,,,,,,,,,,,,,,
Randy Smith,https://the100.fandom.com/wiki/Randy_Smith,https://static.wikia.nocookie.net/thehundred/images/9/9a/Randy_Smith_%28Twilight%27s_Last_Gleaming%29.png/revision/latest?cb=20250829001159,Pilot,Earth (current) The Ark (former) The camp,,,Twilight's Last Gleaming,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Raven Reyes,https://the100.fandom.com/wiki/Raven_Reyes,https://static.wikia.nocookie.net/thehundred/images/2/2d/Raven_crow.jpg/revision/latest/scale-to-width-down/268?cb=20240405164343,Earth Skills,The Ark (former) Earth (current) The Camp (former) Arkadia (former) City of Light (former) Becca's Island (former) Go-Sci Ring (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former),Frozen to death (temporarily; revived),"Little Bird (by Nygel ) Reyes (by Sinclair , Murphy and Sheidheda ) Ms. Morality (by Murphy ) McCreary's Guest (by Hatch ) Baby (by Abby ) Honey (by Abby )",The Last War,Alive,"2131, Mecha Station , The Ark","One , Two , Three , Four , Five , Six , Seven",Herself (temporarily; revived),Lindsey Morgan,Several Trikru warriors including Tris (alongside Jasper and Monty) 300 Trikru warriors (alongside Clarke and Jasper) Ice Nation assassin 8 members of A.L.I.E.'s Cult (consciousness; alongside Monty Green ) Hannah Green (consciousness; alongside Monty Green ) A.L.I.E. 2.0 (terminated) Hatch (indirectly caused) 3 Eligius Prisoners (indirectly caused) 7 Disciples Captain Meredith,Female,Mechanic Zero-G Mechanic (former) Pilot,Finalkru Wonkru (former) The 100 (honorary member) Sky People A.L.I.E.'s Cult (former) Resistance Against A.L.I.E. Spacekru,"Unnamed mother † (mentioned) Finn Collins † (ex-boyfriend) Kyle Wick † (ex-boyfriend) Miles Shaw † (late boyfriend) Jacapo Sinclair † (father figure) Abigail Griffin † (declared family, mother figure) Echo (declared sister) Clarke Griffin (declared family)","19 (S1-4) 24 (S5-7) 149 (chronologically, S6-7)"
Rebecca Lee,https://the100.fandom.com/wiki/Rebecca_Lee,https://static.wikia.nocookie.net/thehundred/images/3/39/Rebecca_Lee_%28Pilot%29.png/revision/latest/scale-to-width-down/268?cb=20250828211354,Pilot,Earth (current) The Ark (former) The camp,,,Twilight's Last Gleaming,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Red,https://the100.fandom.com/wiki/Red,https://static.wikia.nocookie.net/thehundred/images/5/5a/Red.jpg/revision/latest/scale-to-width-down/268?cb=20170209005817,Earth Skills,The Ark,Exodus ship explosion,,Unity Day,Deceased,,One,Mountain Men,Ben Cotton,,Male,Mechanic,Sky People Diana Sydney,,
Reese Cadogan,https://the100.fandom.com/wiki/Reese_Cadogan,https://static.wikia.nocookie.net/thehundred/images/1/1c/Reese_Cadogan_708_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200703184357,Thirteen,Earth Second Dawn Bunker,,Greese (by his sister ),Anaconda,Unknown (presumably deceased),,"Three , Five , Seven",,Adain Bradley,Becca Franko,Male,Disciple,Second Dawn (former) Disciples (former),Bill Cadogan † (father) Grace Cadogan † (mother) Callie Cadogan † (sister) Unnamed grandfather † Unnamed Grandmother,
Rex,https://the100.fandom.com/wiki/Rex,https://static.wikia.nocookie.net/thehundred/images/7/7e/706_Rex.png/revision/latest/scale-to-width-down/267?cb=20200625142310,Nakara,"Sanctum , Alpha",,,Blood Giant,Transcended,,Seven,,Sean Quan,,Male,,Sanctumites,Unnamed mother Unnamed father Possible younger brother,
Minor Characters,https://the100.fandom.com/wiki/Rhanda,,,,,,,,,,,,,,,,,
Richards,https://the100.fandom.com/wiki/Richards,https://static.wikia.nocookie.net/thehundred/images/4/4c/Richards_2x14.png/revision/latest/scale-to-width-down/268?cb=20150605035457,Survival of the Fittest,The Ark (former) Earth (former) Arkadia (former),Eaten by Giant Lamprey,,Blood Must Have Blood (Part 2),Deceased,,Season Two,Thelonious Jaha,James Pizzinato,,Male,Camp Jaha Guard,Sky People Jaha's followers,,
Riley,https://the100.fandom.com/wiki/Riley,https://static.wikia.nocookie.net/thehundred/images/e/ef/RileyDNR.png/revision/latest/scale-to-width-down/268?cb=20170427205134,Heavy Lies the Crown,Earth (current) The Ark (former) Arkadia (current),Drug Overdose,,The Other Side,Deceased,,Four,Himself,Ben Sullivan,Tybe Himself,Male,,Sky People,,
Rivo,https://the100.fandom.com/wiki/Rivo,https://static.wikia.nocookie.net/thehundred/images/d/dc/CapturedGrounder_2x03.jpg/revision/latest/scale-to-width-down/268?cb=20141123232041,Reapercussions,Earth (current),,,Human Trials,Unknown (presumably deceased),,Season Two,,Colin Lawrence,,Male,Warrior,Trikru,,
Roan,https://the100.fandom.com/wiki/Roan,https://static.wikia.nocookie.net/thehundred/images/4/46/4x05_Roan_Crop.png/revision/latest/scale-to-width-down/268?cb=20190729050958,Wanheda (Part 1),Earth Polis (former) Becca's Island (former),Black rain (indirectly) Drowned in fountain (during Final Conclave ),Prince Roan King Roan Haihefa (King in Trigedasleng ) Keeper of the Flame (self-proclaimed) Highness Sire,"Die All, Die Merrily (physical) From the Ashes (hallucination)","Deceased , 2150 ; Polis",2120s-2130s; Earth,"Three , Four , Seven",Luna,Zach McGowan,Three Azgeda Warriors Anat Fio,Male,King of Azgeda Head of the Coalition (acting; former) Flamekeeper (acting; former) Prince of Azgeda (former) Bounty Hunter (former),Azgeda (formerly banished by Lexa ) Resistance Against A.L.I.E. Coalition (former),Queen Nia † (mother) King Theo † (grandfather),
Robert,https://the100.fandom.com/wiki/Robert,https://static.wikia.nocookie.net/thehundred/images/a/a7/Robert_%28Sic_Semper_Tyrannis%29.PNG/revision/latest/scale-to-width-down/268?cb=20230303173103,How We Get to Peace,,Stabbed with a pickaxe,,Sic Semper Tyrannis,Deceased,,Five,Paxton McCreary,Jeremy Jones,,Male,,Eligius Prisoners,,40s
Robert Stanhope,https://the100.fandom.com/wiki/Robert_Stanhope,https://static.wikia.nocookie.net/thehundred/images/9/9b/Robert_Stanhope_%28Pilot%29.PNG/revision/latest?cb=20200926131035,Pilot,Earth (current) The Ark (former) The camp,,,Contents Under Pressure,Unknown,,One,,Unknown,,Male,,Sky People The 100 Bellamy's Militia,,16-18
Rock Line Thief,https://the100.fandom.com/wiki/Rock_Line_Thief,https://static.wikia.nocookie.net/thehundred/images/e/e6/4x07_Boudalan_thief.png/revision/latest/scale-to-width-down/268?cb=20170323214151,Gimme Shelter,Earth Becca's Island,Radiation poisoning,""" Baylis """,God Complex,Deceased,,Four,Eric Jackson Abigail Griffin Emori (indirectly),Bradley Stryker,,Male,,Boudalankru,,
