Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
Paula (King County),https://walkingdead.fandom.com/wiki/Paula_(King_County),https://static.wikia.nocookie.net/walkingdead/images/2/29/Paula_%28Bloodletting%29.jpg/revision/latest/scale-to-width-down/268?cb=20230423175323,,,Tom - Husband (Unnamed) - Child/Children,Caucasian-American,Unknown,,,,Early to Mid 30s,,Auburn,,,,Brown,,Female,Unknown,,,Kelley Davis,,,,
Paula (Savior),https://walkingdead.fandom.com/wiki/Paula_(Savior),https://static.wikia.nocookie.net/walkingdead/images/0/0c/Season_six_paula.png/revision/latest/scale-to-width-down/268?cb=20221026062210,,,(Unnamed) † - Late Husband (Unnamed) † - Four Daughters,Caucasian-American,Dead,,,,Mid to Late 30s,,Red,,2,Donnie † - Late Lover,,,Female,Pre-Apocalypse Secretary Post-Apocalypse Lieutenant of the Saviors,,,Alicia Witt,,,Katie Thomas (Zombified),
Paulie (TV Series),https://walkingdead.fandom.com/wiki/Paulie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/79/Savior3_%28Honor%29.png/revision/latest/scale-to-width-down/268?cb=20200520221228,,,Unknown,Caucasian-American,Dead,,,,Mid 40s,,Brown,,,,,,Male,Unknown,,,Paul E. Short,,,,
Penny (TV Series),https://walkingdead.fandom.com/wiki/Penny_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f9/Season_ten_penny.png/revision/latest?cb=20200309011204,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Dark Brown,,,,,,Female,Post-Apocalypse Soldier for the Coalition,,,Kristin Reyelt,,,,
Penny Blake (TV Series),https://walkingdead.fandom.com/wiki/Penny_Blake_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a9/Season_three_penny_blake.png/revision/latest/scale-to-width-down/268?cb=20260310204040,,,Mrs. Blake † - Mother Philip Blake † - Father Mr. Blake - Uncle,Caucasian-American,Dead,,,,12-Nov,,Brown,,5,,Blue,,Female,Pre-Apocalypse Elementary School Student,,,Kylie Szymanski,,,Savana Wehunt (Stunt Double),
Percy (TV Series),https://walkingdead.fandom.com/wiki/Percy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/95/Season_five_percy.png/revision/latest/scale-to-width-down/268?cb=20260802194852,,,Unknown,Caucasian-American,Dead,,,,Late 60s to Early 70s,,Gray (Balding),,2,,,,Male,Post-Apocalypse Dawn Lerner 's Ward at Grady Memorial Hospital,,,Marc Gowan,,,,
Pete Anderson (TV Series),https://walkingdead.fandom.com/wiki/Pete_Anderson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5f/Season_five_pete_anderson.png/revision/latest/scale-to-width-down/268?cb=20210227051958,,,Jessie Anderson † - Wife Ron Anderson † - Son Sam Anderson † - Son,Caucasian-American,Dead,,,,Late 30s,,Dirty Blond,,6,,Blue,,Male,Pre-Apocalypse Surgeon Post-Apocalypse Doctor for the Alexandria Safe Zone,,,Corey Brill,,,"Prop ("" First Time Again "")",
Pete Dolgen (TV Series),https://walkingdead.fandom.com/wiki/Pete_Dolgen_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/11/Season_four_pete_dolgen.png/revision/latest/scale-to-width-down/268?cb=20191119034039,,,Mitch Dolgen † - Brother,Caucasian-American,Undead,,,,Mid 30s,,Black,,,,Brown,,Male,Pre-Apocalypse Army Soldier Post-Apocalypse Supply Runner for the River Camp Former De-Facto Leader of the River Camp,,,Enver Gjokaj,,,,
Philip Blake (TV Series),https://walkingdead.fandom.com/wiki/Philip_Blake_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7a/Season_four_philip_blake.png/revision/latest/scale-to-width-down/268?cb=20191119034041,,,Mrs. Blake † - Late Wife Penny Blake † - Daughter Mr. Blake - Brother,Caucasian-American,Dead,,,,Mid to Late 40s,,Brown (Graying),,19,Rowan † - Ex-Lover Andrea Harrison † - Ex-Girlfriend Lilly Chambler † - Ex-Girlfriend,Blue,The Governor Brian Heriot (fake identity) One Eye Bri (by Mitch ),Male,"Pre-Apocalypse Middle-Management Employee Post-Apocalypse Former Leader of Woodbury , the Woodbury Army , the River Camp and his own militia Former Supply Runner for the River Camp",,,David Morrissey,,,,
Phillips (TV Series),https://walkingdead.fandom.com/wiki/Phillips_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/72/Commonwealth2_%28Acts_of_God%29.png/revision/latest/scale-to-width-down/268?cb=20220411015603,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,3,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Nathan W. Collins,,,,
Pope (TV Series),https://walkingdead.fandom.com/wiki/Pope_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/46/Season_eleven_pope.png/revision/latest/scale-to-width-down/268?cb=20260728170514,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 50s,,"Brown (Graying, Balding)",,4,,,,Male,Pre-Apocalypse Officer in the U.S. Military Mercenary Post-Apocalypse Former Leader of the Reapers,,Tick † - Dog,Ritchie Coster,,,,
Potter (TV Series),https://walkingdead.fandom.com/wiki/Potter_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9f/Season_nine_potter.png/revision/latest?cb=20181009011645,,,Unknown,African-American,Unknown,,,,Early to Mid 40s,,Black (Graying),,4,,,,Male,Post-Apocalypse Former Worker for the Saviors,,,Jon Eyez,,,,
Primo (TV Series),https://walkingdead.fandom.com/wiki/Primo_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/47/Season_six_primo.png/revision/latest/scale-to-width-down/268?cb=20210806045759,,,Unknown,Latino-American,Dead,,,,Late 30s to Early 40s,,Unknown (Bald),,2,,,,Male,Post-Apocalypse Medic for the Saviors,,,Jimmy Gonzales,,,,
Private Franklin (TV Series),https://walkingdead.fandom.com/wiki/Private_Franklin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f6/Franklinhelicopter.jpg/revision/latest/scale-to-width-down/268?cb=20130724194755,,,Unknown,Caucasian-American,Dead,,,,Late 20s,,Brown,,,,,,Male,Pre-Apocalypse Soldier for the U.S. Military,,,Mike Mayhall,,,,
Private Sean (TV Series),https://walkingdead.fandom.com/wiki/Private_Sean_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/94/SeanCrop.PNG/revision/latest?cb=20200810034852,,,Unknown,African-American,Dead,,,,Late 20s to Early 30s,,Black,,,,,,Male,Pre-Apocalypse Soldier for the U.S. Military,,,Troy Faruk,,,,
Private Wilson (TV Series),https://walkingdead.fandom.com/wiki/Private_Wilson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/6b/Walk_with_me_national_guardsman_%284%29.png/revision/latest/scale-to-width-down/268?cb=20250222183055,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Mid 30s,,Dark Brown,,2,,,,Male,Pre-Apocalypse Soldier for the U.S. Military,,,Matthew Austin Murray,,,,
Quan (TV Series),https://walkingdead.fandom.com/wiki/Quan_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e9/Season_ten_quan.png/revision/latest?cb=20200317215645,,,Unknown,African-American,Dead,,,,"Early to Mid 20s ("" Hostiles and Calamities "") Late 20s to Early 30s ("" Stradivarius "")",,Black,,14,,,,Male,Post-Apocalypse Former Worker for the Saviors Distiller Guard for the Hilltop Colony Soldier for the Coalition,,,Quandae Stewart,,,,
Quintana (TV Series),https://walkingdead.fandom.com/wiki/Quintana_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/48/Season_eleven_quintana.png/revision/latest/scale-to-width-down/268?cb=20220228024622,,,Unknown,African-American,Unknown,,,,Mid to Late 30s,,Black,,,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Unknown,,,,
Rachel Ward (TV Series),https://walkingdead.fandom.com/wiki/Rachel_Ward_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/90/Season_eleven_rachel_ward.png/revision/latest/scale-to-width-down/268?cb=20220411162844,,,Unknown,Caucasian-American,Alive,,,,"Pre-Teen ("" Swear "") Late Teens ("" The Calm Before "") Early 20s ("" The Lucky Ones "")",,Brown,,16,,,,Female,Pre-Apocalypse Student Post-Apocalypse Former Soldier for the Militia Former Fisherwoman at Oceanside Co-Leader of Oceanside and the Coalition,,,Mimi Kirkland ( S7 - S9 ) Avianna Mynhier ( S9 - S11 ),,,,
Randall Culver (TV Series),https://walkingdead.fandom.com/wiki/Randall_Culver_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/55/Season_two_randall_culver.png/revision/latest/scale-to-width-down/268?cb=20180901162537,,,Mrs. Culver † - Mother (Unnamed) † - Brother,Caucasian-American,Dead,,,,20,,Dark Brown,,4,,Brown,,Male,Pre-Apocalypse Former Student at Cranwall High School Possible College Student,,,Michael Zegen,,,,
Rasmus (TV Series),https://walkingdead.fandom.com/wiki/Rasmus_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/dc/Season_nine_rasmus.png/revision/latest/scale-to-width-down/267?cb=20190303210007,,,Unknown,Caucasian-American,Dead,,,,Mid 30s,,Brown,,3,,,,Male,Unknown,,,Ethan Patterson,,,,
Reg Monroe (TV Series),https://walkingdead.fandom.com/wiki/Reg_Monroe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b4/Season_five_reg_monroe.png/revision/latest/scale-to-width-down/268?cb=20210831234042,,,Deanna Monroe † - Wife Aiden Monroe † - Son Spencer Monroe † - Son,Caucasian-American,Dead,,,,Late 50s to Early 60s,,Gray,,5,,,,Male,Pre-Apocalypse Professor of Architecture,,,Steve Coulter,,,"Prop ("" First Time Again "")",
Regina (TV Series),https://walkingdead.fandom.com/wiki/Regina_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/ac/Season_nine_regina_%282%29.png/revision/latest/scale-to-width-down/268?cb=20200504012403,,,Unknown,Middle Eastern/Caucasian-American,Dead,,,,"Early 40s ("" Mercy "") Late 40s ("" Who Are You Now? "")",,Brown,,12,,,,Female,Post-Apocalypse Former Lieutenant of the Saviors Former Head of the Shephard Office Plaza,,,Traci Dinwiddie,,,,
Reilly (TV Series),https://walkingdead.fandom.com/wiki/Reilly_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/37/Season_eight_reilly.png/revision/latest/scale-to-width-down/268?cb=20200517035644,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Male,Unknown,,,Lane Miller,,,,
Richard (TV Series),https://walkingdead.fandom.com/wiki/Richard_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/04/Season_seven_richard.png/revision/latest/scale-to-width-down/268?cb=20170315014517,,,(Unnamed) † - Late Wife Katy † - Daughter,Caucasian-American,Dead,,,,Mid 40s,,Dark Brown,,5,,,,Male,Post-Apocalypse Soldier for the Kingdom,,,Karl Makinen,,,,
Richard Foster (TV Series),https://walkingdead.fandom.com/wiki/Richard_Foster_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/40/Season_three_richard_foster.png/revision/latest?cb=20181114183438,,,Mrs. Foster † - Wife ( Unnamed ) † - Daughter,Caucasian-American,Dead,,,,Early to Mid 50s,,Gray,,6,,,,Male,Unknown,,(Unnamed) - Dog,Greg Tresan,,,,
Richards (TV Series),https://walkingdead.fandom.com/wiki/Richards_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/6c/Season_six_richards.png/revision/latest?cb=20150605213605,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Male,Post-Apocalypse Guard for the Alexandria Safe Zone,,,Darian Fisher (Alive),,,Dalton Louis Simons (Zombified),
Richie (TV Series),https://walkingdead.fandom.com/wiki/Richie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/8d/Season_nine_richie.png/revision/latest/scale-to-width-down/268?cb=20190214042900,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 40s,,Brown (Graying),,,,,,Male,Unknown,,,Alex Hill,,,,
Rick Grimes (TV Universe),https://walkingdead.fandom.com/wiki/Rick_Grimes_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/5/58/Season_one_rick_grimes_towl_%282%29.png/revision/latest/scale-to-width-down/268?cb=20240421154052,,,Mrs. Grimes - Mother Mr. Grimes † - Father Mr. Grimes † - Paternal Grandfather Lori Grimes † - Late Wife Michonne Grimes - Wife Carl Grimes † - Son R.J. Grimes - Son Judith Grimes - Adopted Daughter [ 1 ] Evie - Sister or Sister-In-Law (Unnamed) - Cousin [ 2 ],Caucasian-American,Alive,,8 ( Onslaught ),,"29 ("" Wrath "", Flashback) 38 ("" Days Gone Bye "") 39 ("" Seed "") 40 ("" 30 Days Without An Accident "") 42 ("" A New Beginning "") 45-46 ("" Rest in Peace "", Flashback) 50 ("" Years "") 51 ("" The Last Time "")",,Dark Brown (Graying),,106 ( The Walking Dead ) 2 ( Fear ) 6 ( The Ones Who Live ),Sheila - Ex-Girlfriend Jessie Anderson † - Late Girlfriend,Blue,Dumbass (by Glenn ) Officer Friendly (by himself) Helicopter Boy (by Morales ) Atlanta (by Tomas ) The Sheriff (by Merle ) Ringleader (by Gareth ) Rich (by Gregory ) Peaches (by Morales) Chief (by Oscar and Julia ) Mother Goose (by Tara ) The Brave Man (by his fa mi ly ) Commando (by Michonne ),Male,Pre-Apocalypse Former Student at King County High School Former Student at Georgia Central University Deputy for King County Sheriff's Department Post-Apocalypse Former Co-Leader of the Atlanta Camp and the Militia Former Leader of the Prison community and the Alexandria Safe Zone Former Constable for the Alexandria Safe Zone Former Consignee for the Civic Republic of Philadelphia Former Sergeant Major of the Civic Republic Military Former Co-Project Lead on the Cascadia Forward Operating Base Conversion Team,,Codger † - Dog,Andrew Lincoln,,,Keith Ferguson (Voice; Onslaught ),
Rick Grimes Jr. (TV Universe),https://walkingdead.fandom.com/wiki/Rick_Grimes_Jr._(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/2/23/Season_one_rj_grimes.png/revision/latest/scale-to-width-down/268?cb=20240401223015,,,Michonne Grimes - Mother Rick Grimes - Father Mrs. Hawthorne † - Maternal Grandmother (Unnamed) † - Paternal Great-Grandfather Mrs. Grimes - Paternal Grandmother Mr. Grimes † - Paternal Grandfather Carl Grimes † - Half Brother Andre Anthony † - Half Brother Judith Grimes - Adoptive Sister,African/Caucasian-American,Alive,,,,"5 ("" Who Are You Now? "") 6 ("" The Storm "") 7 ("" Trust "") 8 ("" Rest in Peace ""/"" The Last Time "")",,Brown,,24 ( The Walking Dead ) 2 ( The Ones Who Live ),,Brown,R.J. Little Brave Man,Male,Post-Apocalypse Former Student at the Alexandria Safe Zone Student at the Commonwealth 's Education Hall,,,Antony Azor,,,,
Riverbend,https://walkingdead.fandom.com/wiki/Riverbend,https://static.wikia.nocookie.net/walkingdead/images/5/52/11x13_Riverbend_Outside.png/revision/latest/scale-to-width-down/268?cb=20220321175326,,TV Series,,,Abandoned,,,Apartment Building,,Virginia or West Virginia,,,,,,,,,,,,""" Warlords "" to "" Trust """,,,
Roberts (TV Series),https://walkingdead.fandom.com/wiki/Roberts_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/af/Season_eleven_roberts.png/revision/latest/scale-to-width-down/268?cb=20221108000302,,,Mr. Roberts - Brother,African-American,Alive,,,,Late 30s to Early 40s,,Black,,,,,Trooper 197 (by the Commonwealth Army ),Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Mahdi Cocci,,,,
Rodney (TV Series),https://walkingdead.fandom.com/wiki/Rodney_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/be/Season_nine_rodney.png/revision/latest/scale-to-width-down/268?cb=20190312185938,,,Unknown,Asian-American,Dead,,,,Mid to Late Teens,,Black,,3,,,,Male,Pre-Apocalypse Student,,,Joe Ando Hirsh,,,,
Roman (TV Series),https://walkingdead.fandom.com/wiki/Roman_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/34/Season_six_roman.png/revision/latest/scale-to-width-down/268?cb=20160404235530,,,Unknown,Caucasian-American,Dead,,,,Early 50s,,Gray,,2,,,,Male,Unknown,,,Stuart Greer,,,,
Roman Calhoun (TV Series),https://walkingdead.fandom.com/wiki/Roman_Calhoun_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/73/Season_eleven_roman_calhoun.png/revision/latest/scale-to-width-down/268?cb=20221003183442,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 40s,,"Black (Graying, Balding)",,5,,,,Male,Post-Apocalypse Government Agent for the Commonwealth,,,Michael Tourek,,,,
Romano (TV Series),https://walkingdead.fandom.com/wiki/Romano_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e1/Season_eleven_romano.png/revision/latest/scale-to-width-down/268?cb=20220411015705,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 40s,,Unknown (Bald),,3,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Matt Bushell,,,,
Ron Anderson (TV Series),https://walkingdead.fandom.com/wiki/Ron_Anderson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/81/Season_six_ron_anderson.png/revision/latest/scale-to-width-down/268?cb=20210308014215,,,Jessie Anderson † - Mother Pete Anderson † - Father Sam Anderson † - Brother,Caucasian-American,Dead,,,,Mid Teens,,Light Brown,,9,Enid † - Ex-Girlfriend,,,Male,Pre-Apocalypse Student,,,Austin Abrams,,,,
Rose (TV Series),https://walkingdead.fandom.com/wiki/Rose_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e0/Season_nine_rose.png/revision/latest/scale-to-width-down/267?cb=20200613014256,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Blonde,,,,,,Female,Unknown,,,Caroline Arapoglou,,,,
Rosie Porter (TV Series),https://walkingdead.fandom.com/wiki/Rosie_Porter_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/db/Season_eleven_rosie_porter.png/revision/latest/scale-to-width-down/268?cb=20221121230814,,,Maxxine Porter - Mother Eugene Porter - Father Michael Mercer - Maternal Uncle Stephanie Mercer - Maternal Grandmother,African/Caucasian-American,Alive,,,,Up to 3 months,,Black,,,,,,Female,,,,Eli Nkrumah Payton,,,,
Rosita Espinosa (TV Series),https://walkingdead.fandom.com/wiki/Rosita_Espinosa_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7f/Season_eleven_rosita_espinosa.png/revision/latest/scale-to-width-down/268?cb=20221031230103,,,(Unnamed) † - Mother (Unnamed) - Brother (Unnamed) - Nephew Socorro Espinosa - Daughter,Mexican-American,Dead,,,,"Mid 20s ("" Inmates "") Early 30s ("" Who Are You Now? "") Mid 30s ("" Rest in Peace "")",,Dark Brown,,94,"Johnny - Ex-Lover Marcus - Ex-Lover "" Chaser "" - Ex-Lover Abraham Ford † - Ex-Boyfriend Spencer Monroe † - Ex-Lover Siddiq † - Ex-Lover Gabriel Stokes - Ex-Boyfriend",Brown,,Female,"Pre-Apocalypse Soldier Post-Apocalypse Former Medical Assistant at the Alexandria Safe Zone Former Soldier for the Militia , the Coalition and the Commonwealth Army",,,Christian Serratos,,,,
Ross (TV Series),https://walkingdead.fandom.com/wiki/Ross_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/49/Season_eleven_ross.png/revision/latest/scale-to-width-down/268?cb=20220328045757,,,Unknown,Caucasian-American,Alive,,,,Late 30s to Early 40s,,Brown,,8,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Marcus Tyler Estes,,,,
Rowan (TV Series),https://walkingdead.fandom.com/wiki/Rowan_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/84/Rowan3x03.jpg/revision/latest/scale-to-width-down/268?cb=20130304162404,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 20s,,Black,,,Philip Blake † - Ex-Lover,Blue,,Female,Unknown,,,Lindsay Abernathy,,,,
Roy (Hilltop),https://walkingdead.fandom.com/wiki/Roy_(Hilltop),https://static.wikia.nocookie.net/walkingdead/images/d/d8/Season_eleven_roy.png/revision/latest/scale-to-width-down/268?cb=20210813225030,,,(Unnamed) - Children,Caucasian-American,Dead,,,,Early to Mid 50s,,White,,6,,,,Male,Post-Apocalypse Former Guard for the Hilltop Colony Soldier for the Coalition,,,C. Thomas Howell,,,"William Michael deArmon ("" Evolution "")",
Roy (Savior),https://walkingdead.fandom.com/wiki/Roy_(Savior),https://static.wikia.nocookie.net/walkingdead/images/3/3d/Season_seven_roy.png/revision/latest/scale-to-width-down/268?cb=20170327033318,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Brown,,3,,,,Male,Unknown,,,Brian Stapf,,,,
Rudy (TV Series),https://walkingdead.fandom.com/wiki/Rudy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/ac/Season_eight_rudy.png/revision/latest?cb=20171116012355,,,Unknown,Caucasian-American,Dead,,,,Mid 50s,,Brown (Graying),,,,,,Male,Unknown,,,Keith Hudson,,,,
Rufus (TV Series),https://walkingdead.fandom.com/wiki/Rufus_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/46/Season_ten_rufus.png/revision/latest/scale-to-width-down/268?cb=20200323151916,,,Unknown,Caucasian-American,Dead,,,,Late 50s,,Gray,,,,,,Male,Unknown,,,Mark Sivertsen,,,,
Russ (TV Series),https://walkingdead.fandom.com/wiki/Russ_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0b/RussSeason8Crop.png/revision/latest/scale-to-width-down/268?cb=20260129231932,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 40s,,Blond (Graying),,8,,,,Male,Post-Apocalypse Former Soldier for the Militia Guard for the Alexandria Safe Zone,,,Thomas Downing,,,,
Ryan Samuels (TV Series),https://walkingdead.fandom.com/wiki/Ryan_Samuels_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7c/Season_four_ryan_samuels.png/revision/latest/scale-to-width-down/268?cb=20210313145926,,,Mrs. Samuels † - Late Wife Lizzie Samuels † - Daughter Mika Samuels † - Daughter,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,2,,,,Male,Unknown,,,Victor McCay,,,,
Sally (TV Series),https://walkingdead.fandom.com/wiki/Sally_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d5/Season_eleven_sally.png/revision/latest/scale-to-width-down/268?cb=20220228024947,,,(Unnamed) - Children,African-American,Unknown,,,,Mid to Late 40s,,Black,,,,,,Female,Post-Apocalypse Server at the Commonwealth,,,Sharon Conley,,,,
Sam (TV Series),https://walkingdead.fandom.com/wiki/Sam_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/75/Season_five_sam.png/revision/latest/scale-to-width-down/268?cb=20210728023435,,,Unknown,Caucasian-American,Undead,,,,Early to Mid 20s,,Blond,,2,Ana † - Late Girlfriend,,,Male,Unknown,,,Robin Lord Taylor,,,,
Sam Anderson (TV Series),https://walkingdead.fandom.com/wiki/Sam_Anderson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3a/Season_six_sam_anderson.png/revision/latest/scale-to-width-down/267?cb=20210308013818,,,Jessie Anderson † - Mother Pete Anderson † - Father Ron Anderson † - Brother,Caucasian-American,Dead,,,,12-Oct,,Dirty Blond,,10,,,,Male,Pre-Apocalypse Assumed Elementary School Student,,,Major Dodson,,,,
Samantha (TV Series),https://walkingdead.fandom.com/wiki/Samantha_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ef/Extra10_%28JSS%29.png/revision/latest?cb=20151102215339,,,Unknown,Caucasian-American,Dead,,,,Mid 20s,,Blonde,,2,,,,Female,Unknown,,,Sierra Laird,,,,
Sanborn (TV Series),https://walkingdead.fandom.com/wiki/Sanborn_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/dd/Season_eleven_sanborn.png/revision/latest/scale-to-width-down/268?cb=20221209205153,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,2,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Phil Armijo,,,,
Sasha Williams (TV Series),https://walkingdead.fandom.com/wiki/Sasha_Williams_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1c/Season_seven_sasha_williams.png/revision/latest/scale-to-width-down/268?cb=20170313234127,,,Mr. Williams - Father Tyreese Williams † - Brother,African-American,Dead,,,,Early 30s,,Dark Brown,,48,Bob Stookey † - Late Boyfriend Abraham Ford † - Late Boyfriend,,,Female,Pre-Apocalypse Firefighter Post-Apocalypse Former Guard for Woodbury Former Member of the Prison Council Former Supply Runner for the Prison Former Guard and Marksman for the Alexandria Safe Zone Former Gardener for the Hilltop Colony,,,Sonequa Martin-Green,,,,
Scott (TV Series),https://walkingdead.fandom.com/wiki/Scott_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/63/Season_ten_scott.png/revision/latest/scale-to-width-down/268?cb=20230723112229,,,Marcus - Adopted Son,African-American,Unknown,,,,"Early 30s ("" First Time Again "") Late 30s to Early 40s ("" Scars "")",,Black,,27,,,,Male,Post-Apocalypse Former Supply Runner for the Alexandria Safe Zone Former Soldier for the Militia Former Prison Guard for the Alexandria Safe Zone Soldier for the Coalition,,,Kenric Green,,,,
Sean (The Living),https://walkingdead.fandom.com/wiki/Sean_(The_Living),https://static.wikia.nocookie.net/walkingdead/images/9/94/Season_two_sean.png/revision/latest?cb=20220804043002,,,Unknown,African-American,Dead,,,,Late 20s,,Black,,,,Brown,,Male,Unknown,,,Keedar Whittle,,,,
Sean (Whisperer),https://walkingdead.fandom.com/wiki/Sean_(Whisperer),https://static.wikia.nocookie.net/walkingdead/images/5/5a/Season_nine_sean.png/revision/latest/scale-to-width-down/268?cb=20190731145442,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Brown,,,Helen † - Late Girlfriend,,,Male,Unknown,,,Benjamin Keepers,,,,
Sebastian Milton (TV Series),https://walkingdead.fandom.com/wiki/Sebastian_Milton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d1/Season_eleven_sebastian_milton.png/revision/latest/scale-to-width-down/268?cb=20221003182238,,,Pamela Milton - Mother (Unnamed) † - Brother William Milton † - Grandfather Mr. Milton - Great-Uncle,Caucasian-American,Dead,,,,Early to Mid 20s,,Brown,,8,Kayla Brand - Girlfriend,,Champ (by Negan ) Junior (by Negan),Male,Pre-Apocalypse Student,,,Teo Rapp-Olsson,,,,
Shane Walsh (TV Universe),https://walkingdead.fandom.com/wiki/Shane_Walsh_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/a/a8/Season-two_shane_walsh.png/revision/latest/scale-to-width-down/268?cb=20221017051657,,,Jean † - Grandmother Judith Grimes - Daughter [ 1 ],Caucasian-American,Dead,,7,,38,,Black,,21,Mrs. Kelly - Ex-Lover Maryanne - Ex-Lover Holly - Ex-Lover Patricia Taylor † - Ex-Girlfriend Lori Grimes † - Ex-Girlfriend Andrea Harrison † - Ex-Lover,Brown,,Male,Pre-Apocalypse High School Football Player Gun Instructor Deputy for King County Sheriff's Department Post-Apocalypse Former Co-Leader of the Atlanta Camp Head of Gun Training,,,Jon Bernthal,,,,
